case_id,event_position,activity_name,timestamp,org:group,org:resource,organization country,resource country,label,anomaly_type,anomaly_description,concept:name,impact,lifecycle:transition,org:role,organization involved,product,time:timestamp
1-270399977,4,Queued+Awaiting Assignment,2012-02-16T15:09:43+01:00,Org line V7n,Earl,nl,Netherlands,anomalous,Late,"{'shift_from': 1, 'shift_to': 4, 'size': 2}",Queued,High,Awaiting Assignment,,V32 2nd,PROD542,2012-02-16T15:09:43+01:00
1-270399977,5,Accepted+In Progress,2012-01-30T10:56:24+01:00,Org line V7n,Juan,nl,Netherlands,anomalous,Late,"{'shift_from': 1, 'shift_to': 4, 'size': 2}",Accepted,High,In Progress,,V32 2nd,PROD542,2012-01-30T10:56:24+01:00
1-270399977,6,Accepted+In Progress,2012-01-30T11:12:05+01:00,Org line V7n,Juan,nl,Netherlands,anomalous,Late,"{'shift_from': 1, 'shift_to': 4, 'size': 2}",Accepted,High,In Progress,,V32 2nd,PROD542,2012-01-30T11:12:05+01:00
1-270399977,7,Accepted+In Progress,2012-02-16T15:10:10+01:00,Org line V7n,Juan,nl,Netherlands,anomalous,Late,"{'shift_from': 1, 'shift_to': 4, 'size': 2}",Accepted,High,In Progress,,V37 2nd,PROD542,2012-02-16T15:10:10+01:00
1-270399977,8,Completed+Closed,2012-03-19T09:26:32+01:00,Org line V7n,Juan,nl,Netherlands,anomalous,Late,"{'shift_from': 1, 'shift_to': 4, 'size': 2}",Completed,High,Closed,,V37 2nd,PROD542,2012-03-19T09:26:32+01:00
1-270427461,1,Accepted+In Progress,2011-11-14T15:57:27+01:00,Org line A2,Tomas,cn,Sweden,anomalous,Early,"{'shift_from': 3, 'shift_to': 0, 'size': 1}",Accepted,Low,In Progress,A2_2,M1 2nd,PROD753,2011-11-14T15:57:27+01:00
1-270427461,2,Accepted+In Progress,2008-11-13T11:01:04+01:00,Org line A2,Tomas,cn,Sweden,anomalous,Early,"{'shift_from': 3, 'shift_to': 0, 'size': 1}",Accepted,Low,In Progress,A2_2,M1 2nd,PROD753,2008-11-13T11:01:04+01:00
1-270427461,3,Accepted+Wait,2009-12-02T14:24:35+01:00,Org line A2,Tomas,cn,Sweden,anomalous,Early,"{'shift_from': 3, 'shift_to': 0, 'size': 1}",Accepted,Low,Wait,A2_2,M1 2nd,PROD753,2009-12-02T14:24:35+01:00
1-270427461,4,Accepted+In Progress,2012-01-18T10:17:14+01:00,Org line A2,Carrie,cn,China,anomalous,Early,"{'shift_from': 3, 'shift_to': 0, 'size': 1}",Accepted,Low,In Progress,A2_2,M1 2nd,PROD753,2012-01-18T10:17:14+01:00
1-270427461,5,Completed+Closed,2012-01-18T10:19:21+01:00,Org line A2,Carrie,cn,China,anomalous,Early,"{'shift_from': 3, 'shift_to': 0, 'size': 1}",Completed,Low,Closed,A2_2,M1 2nd,PROD753,2012-01-18T10:19:21+01:00
1-310231291,1,Accepted+In Progress,2009-06-25T09:47:52+02:00,Org line A2,Mats,se,Sweden,normal,-,-,Accepted,Medium,In Progress,A2_1,M18 2nd,PROD38,2009-06-25T09:47:52+02:00
1-310231291,2,Accepted+In Progress,2012-03-28T13:10:36+02:00,Org line A2,Mats,se,Sweden,normal,-,-,Accepted,Medium,In Progress,A2_1,M18 2nd,PROD38,2012-03-28T13:10:36+02:00
1-310231291,3,Completed+Closed,2012-03-28T13:12:08+02:00,Org line A2,Mats,se,Sweden,normal,-,-,Completed,Medium,Closed,A2_1,M18 2nd,PROD38,2012-03-28T13:12:08+02:00
1-316086072,1,Accepted+In Progress,2009-08-11T08:44:51+02:00,Org line C,Per,se,Sweden,normal,-,-,Accepted,Medium,In Progress,E_10,G260 2nd,PROD425,2009-08-11T08:44:51+02:00
1-316086072,2,Queued+Awaiting Assignment,2009-08-11T08:55:12+02:00,Org line C,Per,se,Sweden,normal,-,-,Queued,Medium,Awaiting Assignment,E_10,G260 2nd,PROD425,2009-08-11T08:55:12+02:00
1-316086072,3,Accepted+Assigned,2009-08-11T12:01:25+02:00,Org line C,Per,se,Sweden,normal,-,-,Accepted,Medium,Assigned,E_10,G260 2nd,PROD425,2009-08-11T12:01:25+02:00
1-316086072,4,Queued+Awaiting Assignment,2010-05-18T12:35:53+02:00,Org line C,Per,se,Sweden,normal,-,-,Queued,Medium,Awaiting Assignment,E_10,G260 2nd,PROD425,2010-05-18T12:35:53+02:00
1-316086072,5,Accepted+In Progress,2010-06-16T12:00:32+02:00,Org line C,Tony,se,Sweden,normal,-,-,Accepted,Medium,In Progress,C_6,G152 3rd,PROD425,2010-06-16T12:00:32+02:00
1-316086072,6,Accepted+Wait,2011-10-01T22:40:28+02:00,Org line C,Tony,se,Sweden,normal,-,-,Accepted,Medium,Wait,C_6,G152 3rd,PROD425,2011-10-01T22:40:28+02:00
1-316086072,7,Queued+Awaiting Assignment,2011-12-07T12:41:00+01:00,Org line C,Tony,se,Sweden,normal,-,-,Queued,Medium,Awaiting Assignment,E_10,G260 2nd,PROD425,2011-12-07T12:41:00+01:00
1-316086072,8,Accepted+In Progress,2012-02-15T12:01:20+01:00,Org line C,Reza,se,Sweden,normal,-,-,Accepted,Medium,In Progress,E_10,G150 2nd,PROD425,2012-02-15T12:01:20+01:00
1-316086072,9,Completed+Closed,2012-02-19T21:57:21+01:00,Org line C,Reza,se,Sweden,normal,-,-,Completed,Medium,Closed,E_10,G150 2nd,PROD425,2012-02-19T21:57:21+01:00
1-320604521,1,Accepted+In Progress,2009-09-07T14:33:24+02:00,Org line C,Richard,se,Sweden,normal,-,-,Accepted,Low,In Progress,C_6,G237 3rd,PROD498,2009-09-07T14:33:24+02:00
1-320604521,2,Unmatched+Unmatched,2009-09-14T11:37:50+02:00,Org line C,Richard,se,Sweden,normal,-,-,Unmatched,Low,Unmatched,C_6,G237 3rd,PROD498,2009-09-14T11:37:50+02:00
1-320604521,3,Completed+Closed,2012-04-30T12:21:43+02:00,Org line C,Richard,se,Sweden,normal,-,-,Completed,Low,Closed,C_6,G237 3rd,PROD498,2012-04-30T12:21:43+02:00
1-322204195,1,Queued+Awaiting Assignment,2009-09-16T22:42:12+02:00,Org line A2,Adam,pl,POLAND,normal,-,-,Queued,Medium,Awaiting Assignment,A2_1,W16 3rd,PROD761,2009-09-16T22:42:12+02:00
1-322204195,2,Accepted+In Progress,2009-09-28T11:26:19+02:00,Org line A2,Adam,pl,POLAND,normal,-,-,Accepted,Medium,In Progress,A2_1,W16 3rd,PROD761,2009-09-28T11:26:19+02:00
1-322204195,3,Accepted+Wait,2009-09-28T11:26:30+02:00,Org line A2,Adam,pl,POLAND,normal,-,-,Accepted,Medium,Wait,A2_1,W16 3rd,PROD761,2009-09-28T11:26:30+02:00
1-322204195,4,Queued+Awaiting Assignment,2010-04-08T12:09:22+02:00,Org line A2,Adam,pl,POLAND,normal,-,-,Queued,Medium,Awaiting Assignment,A2_1,W16 3rd,PROD761,2010-04-08T12:09:22+02:00
1-322204195,5,Queued+Awaiting Assignment,2010-04-08T12:11:51+02:00,Org line A2,Adam,pl,POLAND,normal,-,-,Queued,Medium,Awaiting Assignment,A2_1,W15 2nd,PROD761,2010-04-08T12:11:51+02:00
1-322204195,6,Accepted+In Progress,2010-04-12T10:05:58+02:00,Org line A2,Adam,pl,POLAND,normal,-,-,Accepted,Medium,In Progress,A2_1,W15 2nd,PROD761,2010-04-12T10:05:58+02:00
1-322204195,7,Accepted+Wait,2010-04-12T10:10:24+02:00,Org line A2,Adam,pl,POLAND,normal,-,-,Accepted,Medium,Wait,A2_1,W15 2nd,PROD761,2010-04-12T10:10:24+02:00
1-322204195,8,Accepted+In Progress,2011-10-18T16:09:14+02:00,Org line A2,Adam,pl,POLAND,normal,-,-,Accepted,Medium,In Progress,A2_1,W15 2nd,PROD761,2011-10-18T16:09:14+02:00
1-322204195,9,Accepted+Wait,2012-05-24T10:02:19+02:00,Org line A2,Adam,pl,POLAND,normal,-,-,Accepted,Medium,Wait,A2_1,W15 2nd,PROD761,2012-05-24T10:02:19+02:00
1-322204195,10,Completed+Closed,2012-05-24T11:03:31+02:00,Org line A2,Adam,pl,POLAND,normal,-,-,Completed,Medium,Closed,A2_1,W15 2nd,PROD761,2012-05-24T11:03:31+02:00
1-322581861,1,Accepted+In Progress,2009-09-18T12:50:02+02:00,Org line C,Stefan,se,Sweden,normal,-,-,Accepted,Low,In Progress,E_3,L54 2nd,PROD385,2009-09-18T12:50:02+02:00
1-322581861,2,Unmatched+Unmatched,2009-11-17T14:07:38+01:00,Org line C,Stefan,se,Sweden,normal,-,-,Unmatched,Low,Unmatched,E_3,L54 2nd,PROD385,2009-11-17T14:07:38+01:00
1-322581861,3,Completed+Closed,2012-03-13T11:53:35+01:00,Org line C,Stefan,se,Sweden,normal,-,-,Completed,Low,Closed,E_3,L54 2nd,PROD385,2012-03-13T11:53:35+01:00
1-322980802,1,Accepted+In Progress,2009-09-21T14:13:43+02:00,Org line V2,Kerstin,se,Sweden,normal,-,-,Accepted,Medium,In Progress,,T2 2nd,PROD631,2009-09-21T14:13:43+02:00
1-322980802,2,Completed+Closed,2012-02-07T13:22:11+01:00,Org line V2,Kerstin,se,Sweden,normal,-,-,Completed,Medium,Closed,,T2 2nd,PROD631,2012-02-07T13:22:11+01:00
1-323264491,1,Accepted+In Progress,2009-09-22T14:22:05+02:00,Org line C,Reine,se,Sweden,normal,-,-,Accepted,Low,In Progress,C_5,N1 3rd,PROD476,2009-09-22T14:22:05+02:00
1-323264491,2,Accepted+Assigned,2009-09-22T14:25:17+02:00,Org line C,Reine,se,Sweden,normal,-,-,Accepted,Low,Assigned,C_5,N1 3rd,PROD476,2009-09-22T14:25:17+02:00
1-323264491,3,Completed+Closed,2012-05-24T10:57:49+02:00,Org line C,Reine,se,Sweden,normal,-,-,Completed,Low,Closed,C_5,N1 3rd,PROD476,2012-05-24T10:57:49+02:00
1-323462732,1,Accepted+In Progress,2009-09-23T11:52:27+02:00,Org line A2,Rajashekar,in,Sweden,normal,-,-,Accepted,High,In Progress,D_1,L50 3rd,PROD611,2009-09-23T11:52:27+02:00
1-323462732,2,Accepted+Assigned,2010-01-04T09:00:17+01:00,Org line A2,Rajashekar,in,Sweden,normal,-,-,Accepted,High,Assigned,D_1,L50 3rd,PROD611,2010-01-04T09:00:17+01:00
1-323462732,3,Accepted+In Progress,2010-03-17T16:36:20+01:00,Org line A2,Rajashekar,in,Sweden,normal,-,-,Accepted,High,In Progress,D_1,L50 3rd,PROD611,2010-03-17T16:36:20+01:00
1-323462732,4,Accepted+Assigned,2010-11-09T12:35:55+01:00,Org line A2,Rajashekar,in,Sweden,normal,-,-,Accepted,High,Assigned,D_1,L50 3rd,PROD611,2010-11-09T12:35:55+01:00
1-323462732,5,Accepted+In Progress,2010-11-09T14:20:48+01:00,Org line A2,Rajashekar,in,Sweden,normal,-,-,Accepted,High,In Progress,D_1,L50 3rd,PROD611,2010-11-09T14:20:48+01:00
1-323462732,6,Accepted+In Progress,2012-03-30T08:00:47+02:00,Org line A2,Kalpesh,in,Sweden,normal,-,-,Accepted,High,In Progress,D_1,L50 3rd,PROD611,2012-03-30T08:00:47+02:00
1-323462732,7,Accepted+Assigned,2012-03-30T08:05:44+02:00,Org line A2,Tise,in,INDIA,normal,-,-,Accepted,High,Assigned,D_1,L50 3rd,PROD611,2012-03-30T08:05:44+02:00
1-323462732,8,Accepted+In Progress,2012-04-19T10:01:14+02:00,Org line A2,TulasiPrasad,in,INDIA,normal,-,-,Accepted,High,In Progress,D_1,L50 3rd,PROD611,2012-04-19T10:01:14+02:00
1-323462732,9,Completed+Closed,2012-04-19T10:01:38+02:00,Org line A2,TulasiPrasad,in,INDIA,normal,-,-,Completed,High,Closed,D_1,L50 3rd,PROD611,2012-04-19T10:01:38+02:00
1-327329880,1,Accepted+In Progress,2009-10-14T18:12:54+02:00,Org line A2,Carrie,cn,China,normal,-,-,Accepted,Medium,In Progress,A2_2,M1 2nd,PROD753,2009-10-14T18:12:54+02:00
1-327329880,2,Accepted+Wait,2009-12-02T14:24:37+01:00,Org line A2,Carrie,cn,China,normal,-,-,Accepted,Medium,Wait,A2_2,M1 2nd,PROD753,2009-12-02T14:24:37+01:00
1-327329880,3,Accepted+In Progress,2011-09-02T00:22:08+02:00,Org line A2,Carrie,cn,China,normal,-,-,Accepted,Medium,In Progress,A2_2,M1 2nd,PROD753,2011-09-02T00:22:08+02:00
1-327329880,4,Accepted+In Progress,2012-02-01T09:46:54+01:00,Org line A2,Carrie,cn,China,normal,-,-,Accepted,Medium,In Progress,A2_2,M1 2nd,PROD753,2012-02-01T09:46:54+01:00
1-327329880,5,Completed+Closed,2012-02-01T09:46:57+01:00,Org line A2,Carrie,cn,China,normal,-,-,Completed,Medium,Closed,A2_2,M1 2nd,PROD753,2012-02-01T09:46:57+01:00
1-329451027,1,Unmatched+Unmatched,2009-10-27T09:57:26+01:00,Org line A2,Henrik,se,Sweden,anomalous,SkipSequence,"{'size': 1, 'start': 0, 'skipped': [{'name': 'Accepted+Wait', 'timestamp': '2009-10-26T14:47:10+01:00', 'timestamp_end': None, 'attributes': {'concept:name': 'Accepted', 'impact': 'Low', 'lifecycle:transition': 'Wait', 'org:group': 'Org line A2', 'org:resource': 'Henrik', 'org:role': 'A2_2', 'organization country': 'se', 'organization involved': 'G357 2nd', 'product': 'PROD46', 'resource country': 'Sweden', 'time:timestamp': '2009-10-26T14:47:10+01:00'}}]}",Unmatched,Low,Unmatched,A2_2,G357 2nd,PROD46,2009-10-27T09:57:26+01:00
1-329451027,2,Queued+Awaiting Assignment,2010-03-02T13:44:22+01:00,Org line A2,Henrik,se,Sweden,anomalous,SkipSequence,"{'size': 1, 'start': 0, 'skipped': [{'name': 'Accepted+Wait', 'timestamp': '2009-10-26T14:47:10+01:00', 'timestamp_end': None, 'attributes': {'concept:name': 'Accepted', 'impact': 'Low', 'lifecycle:transition': 'Wait', 'org:group': 'Org line A2', 'org:resource': 'Henrik', 'org:role': 'A2_2', 'organization country': 'se', 'organization involved': 'G357 2nd', 'product': 'PROD46', 'resource country': 'Sweden', 'time:timestamp': '2009-10-26T14:47:10+01:00'}}]}",Queued,Low,Awaiting Assignment,A2_2,G357 2nd,PROD46,2010-03-02T13:44:22+01:00
1-329451027,3,Accepted+In Progress,2010-03-02T13:46:10+01:00,Org line A2,Katarzyna,se,POLAND,anomalous,SkipSequence,"{'size': 1, 'start': 0, 'skipped': [{'name': 'Accepted+Wait', 'timestamp': '2009-10-26T14:47:10+01:00', 'timestamp_end': None, 'attributes': {'concept:name': 'Accepted', 'impact': 'Low', 'lifecycle:transition': 'Wait', 'org:group': 'Org line A2', 'org:resource': 'Henrik', 'org:role': 'A2_2', 'organization country': 'se', 'organization involved': 'G357 2nd', 'product': 'PROD46', 'resource country': 'Sweden', 'time:timestamp': '2009-10-26T14:47:10+01:00'}}]}",Accepted,Low,In Progress,A2_2,G357 2nd,PROD46,2010-03-02T13:46:10+01:00
1-329451027,4,Accepted+Wait,2010-03-02T13:46:18+01:00,Org line A2,Katarzyna,se,POLAND,anomalous,SkipSequence,"{'size': 1, 'start': 0, 'skipped': [{'name': 'Accepted+Wait', 'timestamp': '2009-10-26T14:47:10+01:00', 'timestamp_end': None, 'attributes': {'concept:name': 'Accepted', 'impact': 'Low', 'lifecycle:transition': 'Wait', 'org:group': 'Org line A2', 'org:resource': 'Henrik', 'org:role': 'A2_2', 'organization country': 'se', 'organization involved': 'G357 2nd', 'product': 'PROD46', 'resource country': 'Sweden', 'time:timestamp': '2009-10-26T14:47:10+01:00'}}]}",Accepted,Low,Wait,A2_2,G357 2nd,PROD46,2010-03-02T13:46:18+01:00
1-329451027,5,Accepted+Assigned,2011-04-11T09:10:20+02:00,Org line A2,Damian,se,POLAND,anomalous,SkipSequence,"{'size': 1, 'start': 0, 'skipped': [{'name': 'Accepted+Wait', 'timestamp': '2009-10-26T14:47:10+01:00', 'timestamp_end': None, 'attributes': {'concept:name': 'Accepted', 'impact': 'Low', 'lifecycle:transition': 'Wait', 'org:group': 'Org line A2', 'org:resource': 'Henrik', 'org:role': 'A2_2', 'organization country': 'se', 'organization involved': 'G357 2nd', 'product': 'PROD46', 'resource country': 'Sweden', 'time:timestamp': '2009-10-26T14:47:10+01:00'}}]}",Accepted,Low,Assigned,A2_2,G357 2nd,PROD46,2011-04-11T09:10:20+02:00
